"No.","Time","Source","Destination","Protocol","Length","Info"
"130","13.596625808","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:6953, 2.05 Content, TKN:2c b9, /datafile/100B"
"131","13.599193094","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:15463, GET, TKN:ba 86, /datafile/100B"
"132","13.601307328","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:15463, 2.05 Content, TKN:ba 86, /datafile/100B"
"133","13.603238845","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:61705, GET, TKN:bd 11, /datafile/100B"
"134","13.605403263","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:61705, 2.05 Content, TKN:bd 11, /datafile/100B"
"135","13.607408920","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:24901, GET, TKN:19 36, /datafile/100B"
"136","13.609461233","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:24901, 2.05 Content, TKN:19 36, /datafile/100B"
"137","13.611587519","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:32360, GET, TKN:e5 62, /datafile/100B"
"138","13.613648563","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:32360, 2.05 Content, TKN:e5 62, /datafile/100B"
"139","13.615951590","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:48338, GET, TKN:1b f0, /datafile/100B"
"140","13.618084387","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:48338, 2.05 Content, TKN:1b f0, /datafile/100B"
"141","13.622020159","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:62334, GET, TKN:7e 08, /datafile/100B"
"142","13.624818323","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:62334, 2.05 Content, TKN:7e 08, /datafile/100B"
"143","13.627122848","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:6672, GET, TKN:c5 6a, /datafile/100B"
"144","13.629257993","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:6672, 2.05 Content, TKN:c5 6a, /datafile/100B"
"145","13.631347617","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:38779, GET, TKN:be ac, /datafile/100B"
"146","13.633425360","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:38779, 2.05 Content, TKN:be ac, /datafile/100B"
"147","13.635538577","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:41693, GET, TKN:20 4b, /datafile/100B"
"148","13.637725595","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:41693, 2.05 Content, TKN:20 4b, /datafile/100B"
"149","13.639784035","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:56396, GET, TKN:b8 29, /datafile/100B"
"150","13.641916404","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:56396, 2.05 Content, TKN:b8 29, /datafile/100B"
"151","13.644016568","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:46362, GET, TKN:e7 91, /datafile/100B"
"152","13.646104016","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:46362, 2.05 Content, TKN:e7 91, /datafile/100B"
"153","13.648391687","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:27420, GET, TKN:52 2d, /datafile/100B"
"154","13.650522477","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:27420, 2.05 Content, TKN:52 2d, /datafile/100B"
"155","13.652626556","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:46192, GET, TKN:e0 df, /datafile/100B"
"156","13.654961909","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:46192, 2.05 Content, TKN:e0 df, /datafile/100B"
"157","13.656989050","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:33203, GET, TKN:d2 42, /datafile/100B"
"158","13.659085158","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:33203, 2.05 Content, TKN:d2 42, /datafile/100B"
"159","13.662422871","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:24781, GET, TKN:1c f8, /datafile/100B"
"160","13.664506691","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:24781, 2.05 Content, TKN:1c f8, /datafile/100B"
"161","13.666529218","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:59850, GET, TKN:80 bf, /datafile/100B"
"162","13.669013944","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:59850, 2.05 Content, TKN:80 bf, /datafile/100B"
"163","13.671055695","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:23130, GET, TKN:17 2a, /datafile/100B"
"164","13.673097363","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:23130, 2.05 Content, TKN:17 2a, /datafile/100B"
"165","13.675404796","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:161, GET, TKN:5e b0, /datafile/100B"
"166","13.677480698","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:161, 2.05 Content, TKN:5e b0, /datafile/100B"
"167","13.679882808","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:30960, GET, TKN:10 50, /datafile/100B"
